"filename", "language", "JavaScript", "Markdown", "SQL", "JSON", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/component-post/component-post.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/followers-list/followers-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/followers-list/followers-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/followers-list/followers-list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/followers-list/followers-list.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/friends-list/friends-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/friends-list/friends-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/friends-list/friends-list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/friends-list/friends-list.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/home/home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/home/home.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/home/home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/home/home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/models/relationship.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/models/request-response.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/ng-chat/ng-chat.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/ng-chat/ng-chat.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/ng-chat/ng-chat.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/ng-chat/ng-chat.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
