"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/relationship/relationship.component.spec.ts", "TypeScript", 8, 2, 2, 12
"Total", "-", 8, 2, 2, 12
